TITLE;AUTHORS
P-RANK: Efficient Ranked Keyword Search Using P-tree;Fei Pan Imad Rahal Yue Cui William Perrizo
Learning Partially Observable Action Models;Eyal Amir
Reasoning about Time and Knowledge in Neural-Symbolic Learning Systems;Artur S. d�Avila Garcez   Luis C. Lamb 
Vowels in Infant- and Adult-Directed Speech;Joost Van De Weijer
Stopping Criterion for Boosting-Based Data Reduction Techniques: from Binary to Multiclass Problems;Marc Sebban Richard Nock St�phane Lallich E. Brodley Andrea Danyluk
Removing Flicker from Old Movies;Francois Pitie
 An Optimization-Based Multi-Resolution . . . ;Darren T. Drewry Paul F. Reynolds Jr.  et al.
Robust Ego-Motion Estimation and 3D Model Refinement Using Depth Based Parallax Model;Amit K Agrawal  Rama Chellappa
Retrospective Digital Image Fusion of;Multidetector Ct And
The key to Czech vowel length (Arabic rule . . .;Tobias Scheer
Fake Palatalizations;Tobias Scheer  Philippe Segeral Universit� Nice Cnrs Umr N Coda
On Evaluating Loss Performance Deviation: A Simple Tool and Its Practical Implications;Ying Xu Roch Gu�rin
Efficient Analysis of Rare Events Associated with . . . ;Ramya Dhamodaran et al.
Agent-Based Modeling and . . . ;Anil Sawhney Howard Bashford Kenneth Walsh Ajith Rao Mulky
To Search for Images on the Web;Look At The Ethan V. Munson
Inferring White Matter Geometry from Diffusion Tensor MRI: Application to Connectivity Mapping;Christophe Lenglet  Rachid Deriche Olivier Faugeras
Efficient Reasoning with Range and Domain Constraints;Dmitry Tsarkov Ian Horrocks
On Simple Oversampled A/D Conversion in Lsup2(R);Zoran Cvetkovic Martin Vetterli
The BT-Tree: A Branched and Temporal Access Method;Linan Jiang Betty Betty Salzberg
Biodiversity Informatics: The Challenge of Rapid Development Large Databases and Complex Data;Meredith A. Lane  James L. Edwards Ebbe S. Nielsen
OCL as a Core UML Transformation Language;Wituml Position Paper Damien Pollet Didier Vojtisek Jean-marc J�z�quel
Thoughts and Musings on Simulation Education;Richard E. Nance Osman Balci
A Learning Approach to Improving Sentence-Level MT Evaluation;Alex Kulesza Stuart M. Shieber
Layered Animation of Captured Data;Wei Sun Adrian Hilton  Raymond Smith John Illingworth
On the Resolvability of Sinusoids with Nearby Frequencies in the Presence of Noise;Morteza Shahram And Morteza Shahram Peyman Milanfar
I In nn no ov va at ti io on n  g gr ro ow wt th h t th he eo or ry y  a an nd d t th he e r ro ol le e o of f k kn no ow w l le ed dg ge e s sp pi il ll lo ov ve er rs s;The Relationship Between
Loops in Reeb Graphs of 2-Manifolds;Kree Cole-McLaughlin   Herbert Edelsbrunner John Harer Vijay Natarajan Valerio Pascucci
Hierarchical Web Caching Systems: Modeling Design and Experimental Results;Hao Che  Ye Tung  Zhijun Wang
Low Overhead Encodings for Reduced Activity in Data and Address Buses;Paulo J. Ramos Arlindo L. Oliveira
A Maximum Entropy Approach to Multiple Classifiers Combination;Francois Fouss Marco Saerens
FCND DP No. 80 1 FCND DISCUSSION PAPER NO. 80 NONTRADITIONAL CROPS AND LAND ACCUMULATION AMONG GUATEMALAN SMALLHOLDERS: IS THE IMPACT SUSTAINABLE?;Calogero Carletto
Fort Lauderdale Florida July 11-14 2004;American Institute Of J. E. Bradford A. Charania B. St. Germain
Subpixel Curvature Estimation of the Corpus Callosum via Splines and its Application to Autism;Thomas J. Hoffmann Moo K. Chung Kim D. Dalton  Andrew L. Alexander  Grace Grace Wahba Richard J. Davidson
On Global Warming (Softening Global Constraints);Willem Jan Van Hoeve Gilles Pesant Louis-martin Rousseau
Issues in the Practical Use of Graph Rewriting;Dorothea Blostein Hoda Fahmy Ann Grbavec
Building Trust into OO Components Using a Genetic Analogy;Benoit Baudry Vu Le Hanh  Jean-Marc Jezequel Yves Le Traon
DiffServ and MPLS -- Concepts and Simulation;Raymond Law And Raymond Law Srihari Raghavan
An Analytical Model of Adaptive Wormhole Routing with Time-Out;A. Khonsari H. Sarbazi-Azad M. Ould-Khaoua
UEP for Video Transmission in Space-Time Coded;Ofdm Systems Guang-Hua
Pre-Provisioning Networks to Support Fast Restoration with Minimum Over-Build;Mansoor Alicherry  Randeep Bhatia
 Initializing On-Line Simulations from the State of . . . ;Fernando G. Gonzalez Wayne J. Davis
Monitoring Ethernet Connectivity;Thomas Rodeheffer Thomas L. Rodeheffer
Dynamic Bandwidth Management for Single-hop Ad Hoc Wireless Networks;Samarth H. Shah   Kai Chen Klara Nahrstedt
EPTD Discussion Paper No. 114;Environment And Production Daniel Kabor� Chris Reij
Qwhuqdwlrqdo Rqihuhqfh Dqg ([klelwlrq Rq *hrjudsklf qirupdwlrq;Rqjuhvv Hqwhu Ri Giovanni Di Costanzo Adam M. Gadomski
per DoD Directive 5230.24 Authorized for public release distribution is unlimited;Cdrl June For Task Pv Cdrl A
L_p State Estimators for Power Systems;N. Logic E. Kyriakides G. T. Heydt
Using Partial Differential Equations to Model TCP Mice and Elephants in Large IP Networks;M. Ajmone Marsan  M. Garetto  P. Giaccone E. Leonardi E. Schiattarella A. Tarello
Genome Informatics 14: 322--323 (2003) Features of Gene Extraction by Nonlinear Support;Vector Machines In Daisuke Komura Hiroshi Nakamura Shuichi Tsutsumi Hiroyuki Aburatani Sigeo Ihara
Space-Code Bloom Filter for Efficient Per-Flow Traffic Measurement;Abhishek Kumar  Jun (Jim) Xu Jia Wang Oliver Spatschek  Li (Erran) Li
The Role of Metamodeling in MDA;Colin Atkinson  Thomas K�hne
Extending and Enriching WordNet with OntoLearn;Roberto Navigli Paola Paola Velardi Ro Cucchiarelli Francesca Neri
A Distributed and Measurement-Based Framework against Free Riding in Peer-to-Peer Networks;Murat Karakaya  Ibrahim K�rpeoglu �zg�r Ulusoy
Optimizing Neighbor Table Accuracy of Position-Based Routing Algorithms;Marc Heissenb�ttel  Torsten Braun
Effect Of Changing Patient Position From Supine To Prone On The Accuracy Of A Brown-Roberts-Wells Stereotactic Head Frame System;Torsten Rohlfing Calvin R. Maurer Department Of Neurosurgery Department Of Neurosurgery David Dean Ph. D Robert J. Maciunas Wells Stereotactic Head Frame System
Stability of Data Networks under an Optimization-Based Bandwidth Allocation ;Heng-Qing Ye
Experimental Comparison of Classification Uncertainty for Randomised and Bayesian Decision Tree Ensembles;V. Schetinin D. Partridge W. J. Krzanowski  R.M. Everson  J.E. Fieldsend T. C. Bailey  A. Hernandez
Computer Supported Collaborative Learning Metacognition and Motivation;H. van der Meijden  J.D. Trimpe Drs J. D. Trimpe
Business Process Modeling towards Data Quality Assurance -- An Organizational . . . ; n.n.
Two Ingredients for My Dinner with R2D2: Integration And Adjustable Autonomy;Dennis Perzanowski Alan C. Schultz Elaine Marsh William Adams
Human effectiveness issues in simulated . . . ;Sasanka V. Prabhala Jennie J. Gallimore S. Narayanan
Towards Utility-based Selection of Architecture-Modelling Concepts;H. A. Proper A. A. Verrijn-stuart  S.J.B.A. Hoppenbrouwers
Very Fast Simulated Re-Annealing;A L. Ingber Lester Ingber
Web-Scale Information Extraction in KnowItAll;Oren Etzioni Michael Cafarella  Doug Downey  Stanley Kok  Ana-Maria Popescu  Tal Shaked Stephen Soderland Daniel S. Weld Alexander Yates
Upper Bounds for American Option Prices using Regression with Martingale Basis Functions;N. P. Firth
T h e E p h e m e r i s T h e E p h e m e r i s;Focus And Books
Experiences with a Formal Method for Design and;Automatic Checking Of Ro Campi Eliseo Martinez Pierluigi San Pietro
Optimizing Search Strategies in k-d Trees;Neal Sample Matthew Haines  Mark Arnold Timothy Purcell
Intelligent Web Servers as Agents;Mauro Gaspari Nicola Dragoni Davide Guidi
ACKNOWLEDGMENTS;John Kerr Ganesh Pangare Vasudha Lokur Pangare P. J. George Shashi Kolavalli G. B. Singh Dayanatha Jha Numerous Investigators
Controlled Fabrication System of Fabry-Perot Optical Fiber Sensors;Brian D. Woerner Wei Huo Wei Huo Anbo Wang Chairman
Hydrogen Wishes;Winslow Burleson  Paul Nemirovsky  Dan Overholt
Courage to Capital?;Model Of The Mark Carlson Galina Hale
An Efficient Method for . . . ;Wei Biao Wu et al.
Bounded Rationality :: Bounded Models;Jocelyn Smith University
An Efficient Approach to Decompose the Multidimensional Assignment Problem;H. W. de Waard Agostino Capponi
Soft Error and Energy Consumption Interactions: A Data Cache Perspective;Lin Li  Vijay Degalahal N. Vijaykrishnan  Mahmut Kandemir Mahmut K Mary Jane Irwin
Distribution of Route Requests Using Dominating-Set Neighbor Elimination in an On-demand Routing Protocol;Marc Mosko  J.J. Garcia-Luna-Aceves
A note by Zaman Akil introduced by Jean-Claude Pecker;Collge De France A Note Zaman Akil Introduced Jean-claude Pecker
Apa: An Object Oriented System For Automatic Prosodic Analysis;Massimo Petrillo Massimo Petrillo Prof Giulio Iannello Prof Luigi P. Cordella Dott Francesco Cutugno
Minimum Delay Spread TEQ Design in Multicarrier Systems;Roberto Lopez-Valcarce
Computationally Intelligent Methods for Mining 3D Medical Images Despina;Despina Kontos Vasileios Megalooikonomou Filia Makedon
Imaging Below the Diffraction Limit: A Statistical Analysis;Morteza Shahram Peyman Milanfar
Female dominance and Social Structure In Alaotran gentle Lemurs;P.O. WAEBER  C.K. HEMELRIJK 
Loom2 - Intuitively Visualizing Usenet;Judith Donath Hyun-yeul Lee  danah boyd Jonathan Goler
Circular Filters for Target Tracking in 3D;Dirk Tenne Tarunraj Singh
Intra-Operative 3D Ultrasound Augmentation;Stephen R. Aylward Julien Jomier  Jean-Philippe Guyon Susan Weeks
Modelling the Effects of Input Correlation in Iterative Software;A. Bondavalli S. Chiaradonna F. Di Giandomenico S. La Torre
Photonic Data Services: Integrating Data Network and Path Services to Support Next Generation Data Mining Applications;Robert L. Grossman Yunhong Gu Dave Hanley Xinwei Hong Jorge Levera  Marco Mazzucco Dave Lillethun Joe Mambretti Jeremy Weinberger Future Directions H. Kargupta A. Joshi Y. Yesha Aaai Press
Adaptive Offloading Inference for Delivering Applications in Pervasive Computing Environments;Xiaohui Gu Klara Nahrstedt Alan Messer Dejan Milojicic Ira Greenberg Ira Greenberg Hewlett Packard Laboratories
Automatic Classification of Nasals and Semivowels;Tarun Pruthi Carol Automatic Classification Of Nasals
An Investigation of Inter-Domain Control Aggregation Procedures;Rute Sofia  Roch Gu�rin  Pedro Veiga Roch Gu�rin Pedro Veiga
Statistics and Causal Inference: A Review;Judea Pearl
Identification of PWARX Hybrid Models with Unknown and Possibly Different Orders;Ren� Vidal
Using ART1 Neural Networks to Determine;Clustering Tendency Louis Louis Massey
Efficient Almost Wait-free Parallel Accessible Dynamic Hashtables;H. Gao     J. F. Groote W. H. Hesselink
PAST: A large-scale persistent peer-to-peer storage utility;Peter Druschel  Antony Rowstron
Selective Bitplane Encryption for Secure Transmission of Image Data in Mobile Environments;Martina Podesser Hans-peter Schmidt  Andreas Uhl
Hop-by-Hop Routing Algorithms for Premium-Class Traffic in DiffServ Networks;Jun Wang  Klara Nahrstedt
Terrain Modelling Based on Contours and Slopes;Christopher Gold  Maciej Dakowicz
Proceedings of the 2003 Winter Simulation Conference;Chick Snchez Ferrin S. Chick P. J. S�nchez D. Ferrin D. J. Morrice
Using Narrowing Approximations to Optimize Equational Logic Programs;M. Alpuente M. Falaschi M. J. Ramis G. Vidal
Cross Document Ontology based Information Extraction for Multimedia Retrieval;Dennis Reidsma Jan Kuper Thierry Declerck  Horacio Saggion Hamish Cunningham
Resolving Implementation Convolution in Middleware Systems;Charles Zhang Hans-arno Jacobsen
Decentralized Algorithms for Sensor Registration;Valentino Crespi  George Cybenko
Working with Licensing Constraints;Jonathan Kaye Guangdong Jonathan Kaye
Why They Want to Teach: Factors Influencing Students to Become Technology Education Teachers;Michael D. Wright Rodney L. Custer
Toward a Reusable and Generic Security Aspect Library;Minhuan Huang Chunlei Chunlei Wang Lufeng Zhang
Testing Nash-Bargaining Household Models With Time-Series Data;John Hoddinott Christopher Adam
A Linear Programming Formulation for Global Inference in Natural Language Tasks;Dan Roth  Wen-tau Yih
Simulation of Rare Events in Transportation Systems;Lori M. Kaufman Ted C. Giras
Cryptanalysis of a Pay-as-You-Watch System;Marc Joye
Includes CPF�s suggestions following RAM edits Training the Next Generation of Informaticians: The Impact of �BISTI � and;Charles P. Friedman Russ B. Altman Perry L. Miller Judy G. Ozbolt Edward H. Shortliffe
Models for Character Animation;Gordon Collins And Gordon Collins Adrian Hilton
Configuration Bitstream Compression for Dynamically;Reconfigurable Fpgas Ju Ju Hwa Pan Tulika Mitra Weng-fai Wong
Scalability of Peer Configuration Management in Partially Reliable and Ad Hoc Networks;Mark Burgess  Geoffrey Canright
A Finite-Capacity Beam-Search-Algorithm for . . .;Ilka Habenicht Lars M�nch
Simulation in . . . ;Jeremy Staum
Using Influence Diagrams in Software Change Management;Colin J. Burgess Ilesh Dattani Gordon Hughes John H. R. May Kearton Rees
Extending Ontology Tree Using NLP Technique;T. Sabrina  A. Rosni  T. Enyakong Pusat Pengajian Sains Komputer Universiti Sains Malaysia Pulau Pinang
An Evaluation of the FIDAP Computational Fluid;Dynamics Code For D. A. Jones D. B. Clarke
Post-Release Analysis of Requirements Selection Quality - An Industrial Case Study;Lena Karlsson Bj�rn Regnell Joachim Karlsson  Stefan Olsson
Educational Technology Society 3(4) 2000 ISSN 1436-4522 101;Evaluating Information And Eileen Scanlon Ann Jones Jane Barnard Julie Thompson Judith Calder
Automatic Distribution of Java Byte-Code Based on Dependence Analysis;Roxana E. Diaconescu  Lei Wang  Michael Franz
Speech Acts and Medical Records: The Ontological Nexus;  Lowell Vizenor Barry Smith
Bluetooth and Wi-Fi Wireless Protocols: A Survey and a Comparison;E. Ferro Erina Ferro  F. Potort�
Light Rather Than Iron Controls;Photosynthate Production And
Mining Short-Rule Covers In Relational Databases;Claudio Carpineto Giovanni Romano
A Wavefront Sensing Method for Synthetic Aperture Sonar Autofocus;Callow Hayes And H. J. Callow M. P. Hayes P. T. Gough
Automatic Classification of Nasals and Semivowels;Tarun Pruthi Carol Automatic Classification Of Nasals
Adaptive and Quality Quadrilateral/Hexahedral Meshing from Volumetric Imaging Data;Yongjie Zhang  Chandrajit Bajaj
An Adaptive Cache Structure for Future High-Performance Systems;Changkyu Kim  Doug Burger Stephen W. Keckler
Precise Modeling of Design Patterns;Alain Le Guennec Gerson Suny� Jean-marc J�z�quel
Comparing Fusors within a Category of Fusors;Steven Thorsen Mark Mark E. Oxley
Encoding Volumetric Grids For Streaming Isosurface Extraction;Ajith Mascarenhas Martin Isenburg Valerio Pascucci  Jack Snoeyink
Model-Based Design and New User Interfaces: Current Practices and Opportunities;Jos� Pascual Jos� Pascual Molina Mass� Pascual Gonz�lez L�pez
Teachers Professional Development: . . . ;  Mieke Clement et al.
Mapping Ground Video to Aerial DEMs;Amit K. Agrawal  Chandra Shekhar  Philip David  Jeff DeHart
Properties and Benefits of Calibrated Classifiers;Ira Cohen Moises Goldszmidt
Long Baseline Precision Navigation System for Synthetic Aperture Sonar;Edward N. Pilbrow  Michael P. Hayes  Peter T. Gough
Real-Time Skin Rendering on Graphics Hardware;Pedro Sander David Pedro V. S
An Overview of Quality-of-Service Routing for the Next Generation High-Speed Networks: Problems and Solutions ;Shigang Chen  Klara Nahrstedt 
Two-phased st�d vowels � a cognitive reality?;Nina Gr�nnum A Hans Basb�ll B
An Experimental Study of the Autonomous Helicopter Landing Problem;Srikanth Saripalli Gaurav Gaurav S. Sukhatme James F. Montgomery
FCND DP No.143;Fcnd Discussion Paper Mary Arimond Marie T. Ruel
Unsynchronized Parallel Discrete Event Simulation;Dhananjai Madhava Rao  Narayanan V. Thondugulam  Radharamanan Radhakrishnan  Philip A. Wilsey D. J. Medeiros E. F. Watson J. S. Carson M. S. Manivannan
Subordinated Advection-Dispersion Equation for Contaminant Transport;Boris Baeumer David A. Benson Mark M. Meerschaert Stephen W. Wheatcraft
Restless bandit marginal productivity indices II: Multi-project case . . . ;Jos� Ni�o-mora
MAF : un Protocole de Multicast Fiable;Prom Eth Ee
Optimization Problems in Telecommunications and the Internet;Carlos A. S. Oliveira
 Distributed Symmetric Key Management for Mobile Ad hoc Networks;Aldar C-f. Chan
Testing SoC Interconnects for Signal Integrity Using Extended JTAG Architecture;Mohammad H. Tehranipour  Nisar Ahmed  Mehrdad Nourani
Order Statistics Approach for Detecting a Transient Signal of Unknown Arrival Time in Noise;Eran Fishler Hagit Messer
Face Appearance Factorization For Expression Analysis And Synthesis;Bouchra Abboud Franck Franck Davoine
Experimental Results on Fusion of Multiple Fingerprint Matchers;Gian Luca Marcialis Fabio Roli
A Client Side Approach to Building the Semantic Web;Erik Larson
Union-Find and Congruence Closure Algorithms that Produce Proofs;Robert Nieuwenhuis Albert Oliveras
Geometric Shortest Path Containers;Dorothea Wagner Thomas Willhalm Christos Zaroliagis
Student Views of Formative and Summative CAA;D. OHare Kedleston Rd
A Framework for Protein Classification;Anand Kumar Barry Smith
Impact of Flow Dynamics on Traffic Engineering Design Principles;Konstantina Papagiannaki Nina Taft Christophe Diot
Panel Session: The Future Of The Winter Simulation Conference;S. Chick P. J. S�nchez D. Ferrin D. J. Morrice Daniel T. Brunner Ricki G. Ingalls Barry L. Nelson
Context Based Identification of User Communities From Internet Chat;Ata Kaban  Xin Wang
GAMBL Genetic Algorithm Optimization of Memory-Based WSD;Bart Decadt And Bart Decadt V�ronique Hoste Walter Daelemans Antal Van Den Bosch
Anthropomorphic visualization: Depicting . . . ;Ethan Lewis Perry
Agent-Based Service Composition through Simultaneous Negotiation in Forward and Reverse Auctions; Andrew Byde Claudio Bartolini Chris Preist Chris Preist
Migration of Service and Customer Data in Intelligent Network Applications Anders Rosn;Anders Rosen Telia Supervisor Lars Planelid Examiner Monika Danielsson Anders Ros�n Examensarbete Dv
Design Implementation and Evaluation of IPv4+4;Zoltan Turanyi  Andras Valko  Anrew Campbell
Limited Evolution of Segregation Distortion: Potential for a High Degree of Polymorphism;M van Boven  F Weissing
Mobile Agent-based Performance Management for the;Virtual Home Environment C. Bohoris G. Pavlou A. Liotta
A Simple Polynomial Time Framework for Reduced-Path Decomposition in Multi-Path Routing;Vahab S. Mirrokni Marina Thottan  Huseyin Uzunalioglu Sanjoy Paul
Recognition of Cursive Roman Handwriting - Past Present and Future;Horst Bunke
Laboratory-Scale Test of de Broglies Tired-Photon Model;Croca Departamento De J. R. Croca
Semantic Agent Technologies for Tactical Sensor Networks;Guofei Jiang  Wayne Chung  George Cybenko
Advection And Dispersion In Time And Space;B. Baeumer D. A. Benson M. M. Meerschaert
New Horizons: Telecommunications Policy in Israel in the 21st Century;Neil Gandal
A Formalism for Consistency and Partial Replication;Marc Shapiro Karthikeyan Bhargavan Yek Chong Youssef Hamadi
Templatic Structure in Czech: Vowel-final Prefixes;Tobias Scheer Universit� De Nice Leipzig Im Dezember E -e
Simple Identity-Based Cryptography with Mediated RSA;Xuhua Ding Gene Tsudik
A Simple Traffic Independent Scheme for Enabling Restoration Oblivious . . . ;Murali Kodialam T. V. Lakshman Sudipta Sengupta
Educational Goal Preferences among Novice and Veteran Teachers of . . .;Y. Rich Yisrael Rich Malka Almozlino
Verification Via Structure Simulation;N. Immerman A. Rabinovich T. Reps M. Sagiv G. Yorsh
Modeling the cytotoxic T cell response;Paul Helman Miller Alan Perelson Lance Williams Dennis Lai Chao Dennis Lai Chao Dennis Lai Chao Dennis Lai Chao
Modeling the Performance of Wireless Sensor Networks;C.-F. Chiasserini  M. Garetto
