CONFERENCE;TITLE;BOOKTITLE;SERIES;VOLUME;PUBLISHER;YEAR;ID
conf/aaai/2015robot;Knowledge Skill and Behavior Transfer in Autonomous Robots Papers from the 2015 AAAI Workshop Austin Texas USA January 25 2015.;AAAI Workshop: Knowledge Skill and Behavior Transfer in Autonomous Robots;AAAI Workshops;WS-15-09;AAAI Press;2015;978-1-57735-720-9
conf/aaai/2015sbd;Scholarly Big Data: AI Perspectives Challenges and Ideas Papers from the 2015 AAAI Workshop Austin Texas USA January 2015.;AAAI Workshop: Scholarly Big Data;AAAI Workshops;WS-15-13;AAAI Press;2015;?
conf/aaai/2015sustainability;Computational Sustainability Papers from the 2015 AAAI Workshop Austin Texas USA January 26 2015.;AAAI Workshop: Computational Sustainability;AAAI Workshops;WS-15-06;AAAI Press;2015;978-1-57735-717-9
conf/aaai/2015transportation;Artificial Intelligence for Transportation: Advice Interactivity and Actor Modeling Papers from the 2015 AAAI Workshop Austin Texas USA January 26 2015.;AAAI Workshop: AI for Transportation;AAAI Workshops;WS-15-05;AAAI Press;2015;978-1-57735-716-2
conf/aaai/2015trust;Incentive and Trust in E-Communities Papers from the 2015 AAAI Workshop Austin Texas USA January 25 2015.;AAAI Workshop: Incentive and Trust in E-Communities;AAAI Workshops;WS-15-08;AAAI Press;2015;978-1-57735-719-3
conf/aaai/2015w3phi;World Wide Web and Public Health Intelligence Papers from the 2015 AAAI Workshop Austin Texas USA January 2015.;AAAI Workshop: WWW and Public Health Intelligence;AAAI Workshops;WS-15-15;AAAI Press;2015;?
conf/aaai/2016;Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence February 12-17 2016 Phoenix Arizona USA.;AAAI;?;?;AAAI Press;2016;978-1-57735-760-5
conf/aaai/2016assistive;Artificial Intelligence Applied to Assistive Technologies and Smart Environments Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 12 2016 ;AAAI Workshop: Artificial Intelligence Applied to Assistive Technologies and Smart Environments;AAAI Workshops;WS-16-01;AAAI Press;2016;978-1-57735-759-9
conf/aaai/2016cognitive;Symbiotic Cognitive Systems Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 13 2016.;AAAI Workshop: Symbiotic Cognitive Systems;AAAI Workshops;WS-16-14;AAAI Press;2016;?
conf/aaai/2016data;Scholarly Big Data: AI Perspectives Challenges and Ideas Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 13 2016.;AAAI Workshop: Scholarly Big Data;AAAI Workshops;WS-16-13;AAAI Press;2016;?
conf/aaai/2016ethics;AI Ethics and Society Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 13 2016.;AAAI Workshop: AI Ethics and Society;AAAI Workshops;WS-16-02;AAAI Press;2016;?
conf/aaai/2016grid;AI for Smart Grids and Smart Buildings Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 12 2016.;AAAI Workshop: AI for Smart Grids and Smart Buildings;AAAI Workshops;WS-16-04;AAAI Press;2016;?
conf/aaai/2016health;Expanding the Boundaries of Health Informatics Using AI Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 13 2016.;AAAI Workshop: Expanding the Boundaries of Health Informatics Using AI;AAAI Workshops;WS-16-08;AAAI Press;2016;?
conf/aaai/2016hybrid;Planning for Hybrid Systems Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 13 2016.;AAAI Workshop: Planning for Hybrid Systems;AAAI Workshops;WS-16-12;AAAI Press;2016;?
conf/aaai/2016learning;Declarative Learning Based Programming Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 13 2016.;AAAI Workshop: Declarative Learning Based Programming;AAAI Workshops;WS-16-07;AAAI Press;2016;?
conf/aaai/2016ma;Multiagent Interaction without Prior Coordination Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 13 2016.;AAAI Workshop: Multiagent Interaction without Prior Coordination;AAAI Workshops;WS-16-11;AAAI Press;2016;?
conf/aaai/2016np;Beyond NP Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 12 2016.;AAAI Workshop: Beyond NP;AAAI Workshops;WS-16-05;AAAI Press;2016;?
conf/aaai/2016poker;Computer Poker and Imperfect Information Games Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 13 2016.;AAAI Workshop: Computer Poker and Imperfect Information Games;AAAI Workshops;WS-16-06;AAAI Press;2016;?
conf/aaai/2016security;Artificial Intelligence for Cyber Security Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 12 2016.;AAAI Workshop: Artificial Intelligence for Cyber Security;AAAI Workshops;WS-16-03;AAAI Press;2016;?
conf/aaai/2016text;Knowledge Extraction from Text Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 12 2016.;AAAI Workshop: Knowledge Extraction from Text;AAAI Workshops;WS-16-10;AAAI Press;2016;?
conf/aaai/2016trust;Incentives and Trust in Electronic Communities Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 12 2016.;AAAI Workshop: Incentives and Trust in Electronic Communities;AAAI Workshops;WS-16-09;AAAI Press;2016;?
conf/aaai/2016wwwhi;World Wide Web and Population Health Intelligence Papers from the 2016 AAAI Workshop Phoenix Arizona USA February 12 2016.;AAAI Workshop: WWW and Population Health Intelligence;AAAI Workshops;WS-16-15;AAAI Press;2016;?
conf/aaai/2017;Proceedings of the Thirty-First AAAI Conference on Artificial Intelligence February 4-9 2017 San Francisco California USA.;AAAI;?;?;AAAI Press;2017;?
conf/aaaifs/2008-1;Adaptive Agents in Cultural Contexts Papers from the 2008 AAAI Fall Symposium Arlington Virginia USA November 7-9 2008;AAAI Fall Symposium: Adaptive Agents in Cultural Contexts;AAAI Technical Report;FS-08-01;AAAI;2008;?
conf/aaaifs/2008-2;AI in Eldercare: New Solutions to Old Problems Papers from the 2008 AAAI Fall Symposium Arlington Virginia USA November 7-9 2008;AAAI Fall Symposium: AI in Eldercare: New Solutions to Old Problems;AAAI Technical Report;FS-08-02;AAAI;2008;?
conf/aaaifs/2008-3;Automated Scientific Discovery Papers from the 2008 AAAI Fall Symposium Arlington Virginia USA November 7-9 2008;AAAI Fall Symposium: Automated Scientific Discovery;AAAI Technical Report;FS-08-03;AAAI;2008;?
conf/aaaifs/2008-4;Biologically Inspired Cognitive Architectures Papers from the 2008 AAAI Fall Symposium Arlington Virginia USA November 7-9 2008;AAAI Fall Symposium: Biologically Inspired Cognitive Architectures;AAAI Technical Report;FS-08-04;AAAI;2008;?
conf/aaaifs/2008-5;Multimedia Information Extraction Papers from the 2008 AAAI Fall Symposium Mark Maybury (chair) and Sharon Walter (cochair) Arlington Virginia USA November 7-9 2008;AAAI Fall Symposium: Multimedia Information Extraction;AAAI Technical Report;FS-08-05;AAAI;2008;?
conf/aaaifs/2008-6;Naturally-Inspired Artificial Intelligence Papers from the 2008 AAAI Fall Symposium Arlington Virginia USA November 7-9 2008;AAAI Fall Symposium: Naturally-Inspired Artificial Intelligence;AAAI Technical Report;FS-08-06;AAAI;2008;?
conf/aaaifs/2009-1;Biologically Inspired Cognitive Architectures Papers from the 2009 AAAI Fall Symposium Arlington Virginia USA November 5-7 2009;AAAI Fall Symposium: Biologically Inspired Cognitive Architectures;AAAI Technical Report;FS-09-01;AAAI;2009;?
conf/aaaifs/2009-2;Cognitive and Metacognitive Educational Systems Papers from the 2009 AAAI Fall Symposium Arlington Virginia USA November 5-7 2009;AAAI Fall Symposium: Cognitive and Metacognitive Educational Systems;AAAI Technical Report;FS-09-02;AAAI;2009;?
conf/aaaifs/2009-3;Complex Adaptive Systems and the Threshold Effect Papers from the 2009 AAAI Fall Symposium Arlington Virginia USA November 5-7 2009;AAAI Fall Symposium: Complex Adaptive Systems and the Threshold Effect;AAAI Technical Report;FS-09-03;AAAI;2009;?
conf/aaaifs/2009-4;Manifold Learning and Its Applications Papers from the 2009 AAAI Fall Symposium Arlington Virginia USA November 5-7 2009;AAAI Fall Symposium: Manifold Learning and Its Applications;AAAI Technical Report;FS-09-04;AAAI;2009;?
conf/aaaifs/2009-5;Multi-Representational Architectures for Human-Level Intelligence Papers from the 2009 AAAI Fall Symposium Arlington Virginia USA November 5-7 2009;AAAI Fall Symposium: Multi-Representational Architectures for Human-Level Intelligence;AAAI Technical Report;FS-09-05;AAAI;2009;?
conf/aaaifs/2009-6;The Uses of Computational Argumentation Papers from the 2009 AAAI Fall Symposium Arlington Virginia USA November 5-7 2009;AAAI Fall Symposium: The Uses of Computational Argumentation;AAAI Technical Report;FS-09-06;AAAI;2009;?
conf/aaaifs/2009-7;Virtual Healthcare Interaction Papers from the 2009 AAAI Fall Symposium Arlington Virginia USA November 5-7 2009;AAAI Fall Symposium: Virtual Healthcare Interaction;AAAI Technical Report;FS-09-07;AAAI;2009;?
conf/aaaifs/2010-1;Cognitive and Metacognitive Educational Systems Papers from the 2010 AAAI Fall Symposium Arlington Virginia USA November 11-13 2010;AAAI Fall Symposium: Cognitive and Metacognitive Educational Systems;AAAI Technical Report;FS-10-01;AAAI;2010;?
conf/aaaifs/2010-2;Commonsense Knowledge Papers from the 2010 AAAI Fall Symposium Arlington Virginia USA November 11-13 2010;AAAI Fall Symposium: Commonsense Knowledge;AAAI Technical Report;FS-10-02;AAAI;2010;?
conf/aaaifs/2010-3;Complex Adaptive Systems: Resilience Robustness and Evolvability Papers from the 2010 AAAI Fall Symposium Arlington Virginia USA November 11-13 2010;AAAI Fall Symposium: Complex Adaptive Systems;AAAI Technical Report;FS-10-03;AAAI;2010;?
conf/aaaifs/2010-4;Computational Models of Narrative Papers from the 2010 AAAI Fall Symposium Arlington Virginia USA November 11-13 2010;AAAI Fall Symposium: Computational Models of Narrative;AAAI Technical Report;FS-10-04;AAAI;2010;?
conf/aaaifs/2010-5;Dialog with Robots Papers from the 2010 AAAI Fall Symposium Arlington Virginia USA November 11-13 2010;AAAI Fall Symposium: Dialog with Robots;AAAI Technical Report;FS-10-05;AAAI;2010;?
conf/aaaifs/2010-6;Manifold Learning and Its Applications Papers from the 2010 AAAI Fall Symposium Arlington Virginia USA November 11-13 2010;AAAI Fall Symposium: Manifold Learning and Its Applications;AAAI Technical Report;FS-10-06;AAAI;2010;?
conf/aaaifs/2010-7;Proactive Assistant Agents Papers from the 2010 AAAI Fall Symposium Arlington Virginia USA November 11-13 2010;AAAI Fall Symposium: Proactive Assistant Agents;AAAI Technical Report;FS-10-07;AAAI;2010;?
conf/aaaifs/2010-8;Quantum Informatics for Cognitive Social and Semantic Processes Papers from the 2010 AAAI Fall Symposium Arlington Virginia USA November 11-13 2010;AAAI Fall Symposium: Quantum Informatics for Cognitive Social and Semantic Processes;AAAI Technical Report;FS-10-08;AAAI;2010;?
conf/aaaifs/2011-1;Advances in Cognitive Systems Papers from the 2011 AAAI Fall Symposium Arlington Virginia USA November 4-6 2011;AAAI Fall Symposium: Advances in Cognitive Systems;AAAI Technical Report;FS-11-01;AAAI;2011;?
conf/aaaifs/2011-2;Building Representations of Common Ground with Intelligent Agents Papers from the 2011 AAAI Fall Symposium Arlington Virginia USA November 4-6 2011;AAAI Fall Symposium: Building Representations of Common Ground with Intelligent Agents;AAAI Technical Report;FS-11-02;AAAI;2011;?
conf/aaaifs/2011-3;Complex Adaptive Systems: Energy Information and Intelligence Papers from the 2011 AAAI Fall Symposium Arlington Virginia USA November 4-6 2011;AAAI Fall Symposium: Complex Adaptive Systems;AAAI Technical Report;FS-11-03;AAAI;2011;?
conf/aaaifs/2011-4;Question Generation Papers from the 2011 AAAI Fall Symposium Arlington Virginia USA November 4-6 2011;AAAI Fall Symposium: Question Generation;AAAI Technical Report;FS-11-04;AAAI;2011;?
conf/aaaifs/2011-5;Robot-Human Teamwork in Dynamic Adverse Environment Papers from the 2011 AAAI Fall Symposium Arlington Virginia USA November 4-6 2011;AAAI Fall Symposium: Robot-Human Teamwork in Dynamic Adverse Environment;AAAI Technical Report;FS-11-05;AAAI;2011;?
conf/aaaifs/2012-1;Artificial Intelligence for Gerontechnology Papers from the 2012 AAAI Fall Symposium Arlington Virginia USA November 2-4 2012;AAAI Fall Symposium: Artificial Intelligence for Gerontechnology;AAAI Technical Report;FS-12-01;AAAI;2012;?
conf/aaaifs/2012-2;Artificial Intelligence of Humor Papers from the 2012 AAAI Fall Symposium Arlington Virginia USA November 2-4 2012;AAAI Fall Symposium: Artificial Intelligence of Humor;AAAI Technical Report;FS-12-02;AAAI;2012;?
conf/aaaifs/2012-3;Discovery Informatics: The Role of AI Research in Innovating Scientific Processes Papers from the 2012 AAAI Fall Symposium Arlington Virginia USA November 2-4 2012;AAAI Fall Symposium: Discovery Informatics;AAAI Technical Report;FS-12-03;AAAI;2012;?
conf/aaaifs/2012-4;Human Control of Bioinspired Swarms Papers from the 2012 AAAI Fall Symposium Arlington Virginia USA November 2-4 2012;AAAI Fall Symposium: Human Control of Bioinspired Swarms;AAAI Technical Report;FS-12-04;AAAI;2012;?
conf/aaaifs/2012-5;Information Retrieval and Knowledge Discovery in Biomedical Text Papers from the 2012 AAAI Fall Symposium Arlington Virginia USA November 2-4 2012;AAAI Fall Symposium: Information Retrieval and Knowledge Discovery in Biomedical Text;AAAI Technical Report;FS-12-05;AAAI;2012;?
conf/aaaifs/2012-6;Machine Aggregation of Human Judgment Papers from the 2012 AAAI Fall Symposium Arlington Virginia USA November 2-4 2012;AAAI Fall Symposium: Machine Aggregation of Human Judgment;AAAI Technical Report;FS-12-06;AAAI;2012;?
conf/aaaifs/2012-7;Robots Learning Interactively from Human Teachers Papers from the 2012 AAAI Fall Symposium Arlington Virginia USA November 2-4 2012;AAAI Fall Symposium: Robots Learning Interactively from Human Teachers;AAAI Technical Report;FS-12-07;AAAI;2012;?
conf/aaaifs/2012-8;Social Networks and Social Contagion Papers from the 2012 AAAI Fall Symposium Arlington Virginia USA November 2-4 2012;AAAI Fall Symposium: Social Networks and Social Contagion;AAAI Technical Report;FS-12-08;AAAI;2012;?
conf/aaaiss/2005-1;AI Technologies for Homeland Security Papers from the 2005 AAAI Spring Symposium Technical Report SS-05-01 Stanford California USA March 21-23 2005;AAAI Spring Symposium: AI Technologies for Homeland Security;?;?;AAAI;2005;?
conf/aaaiss/2005-2;Challenges to Decision Support in a Changing World Papers from the 2005 AAAI Spring Symposium Technical Report SS-05-02 Stanford California USA March 21-23 2005;AAAI Spring Symposium: Challenges to Decision Support in a Changing World;?;?;AAAI;2005;?
conf/aaaiss/2005-3;Knowledge Collection from Volunteer Contributors Papers from the 2005 AAAI Spring Symposium Technical Report SS-05-03 Stanford California USA March 21-23 2005;AAAI Spring Symposium: Knowledge Collection from Volunteer Contributors;?;?;AAAI;2005;?
conf/aaaiss/2005-5;Persistent Assistants: Living and Working with AI Papers from the 2005 AAAI Spring Symposium Technical Report SS-05-05 Stanford California USA March 21-23 2005;AAAI Spring Symposium: Persistent Assistants: Living and Working with AI;?;?;AAAI;2005;?
conf/aaaiss/2005-6;Reasoning with Mental and External Diagrams: Computational Modeling and Spatial Assistance Papers from the 2005 AAAI Spring Symposium Technical Report SS-05-06 Stanford California USA March 21-23 2005;AAAI Spring Symposium: Reasoning with Mental and External Diagrams: Computational Modeling and Spatial Assistance;?;?;AAAI;2005;?
conf/aaaiss/2006-1;Argumentation for Consumers of Healthcare Papers from the 2006 AAAI Spring Symposium Technical Report SS-06-01 Stanford California USA March 27-29 2006;AAAI Spring Symposium: Argumentation for Consumers of Healthcare;?;?;AAAI;2006;?
conf/aaaiss/2006-2;Between a Rock and a Hard Place: Cognitive Science Principles Meet AI-Hard Problems Papers from the 2006 AAAI Spring Symposium Technical Report SS-06-02 Stanford California USA March 27-29 2006;AAAI Spring Symposium: Between a Rock and a Hard Place: Cognitive Science Principles Meet AI-Hard Problems;?;?;AAAI;2006;?
conf/aaaiss/2006-3;Computational Approaches to Analyzing Weblogs Papers from the 2006 AAAI Spring Symposium Technical Report SS-06-03 Stanford California USA March 27-29 2006;AAAI Spring Symposium: Computational Approaches to Analyzing Weblogs;?;?;AAAI;2006;?
conf/aaaiss/2006-4;Distributed Plan and Schedule Management Papers from the 2006 AAAI Spring Symposium Technical Report SS-06-04 Stanford California USA March 27-29 2006;AAAI Spring Symposium: Distributed Plan and Schedule Management;?;?;AAAI;2006;?
conf/aaaiss/2006-5;Formalizing and Compiling Background Knowledge and Its Applications to Knowledge Representation and Question Answering Papers from the 2006 AAAI Spring Symposium Technical Report SS-06-05 Stanford California USA March 27-29 2006;AAAI Spring Symposium: Formalizing and Compiling Background Knowledge and Its Applications to Knowledge Representation and Question Answering;?;?;AAAI;2006;?
conf/aaaiss/2006-6;Semantic Web Meets eGovernment Papers from the 2006 AAAI Spring Symposium Technical Report SS-06-06 Stanford California USA March 27-29 2006;AAAI Spring Symposium: Semantic Web Meets eGovernment;?;?;AAAI;2006;?
conf/aaaiss/2006-7;To Boldly Go Where No Human-Robot Team Has Gone Before Papers from the 2006 AAAI Spring Symposium Technical Report SS-06-07 Stanford California USA March 27-29 2006;AAAI Spring Symposium: To Boldly Go Where No Human-Robot Team Has Gone Before;?;?;AAAI;2006;?
conf/aaaiss/2006-8;What Went Wrong and Why: Lessons from AI Research and Applications Papers from the 2006 AAAI Spring Symposium Technical Report SS-06-08 Stanford California USA March 27-29 2006;AAAI Spring Symposium: What Went Wrong and Why: Lessons from AI Research and Applications;?;?;AAAI;2006;?
conf/aaaiss/2007-1;Control Mechanisms for Spatial Knowledge Processing in Cognitive / Intelligent Systems Papers from the 2007 AAAI Spring Symposium Technical Report SS-07-01 Stanford California USA March 26-28 2007;AAAI Spring Symposium: Control Mechanisms for Spatial Knowledge Processing in Cognitive / Intelligent Systems;?;?;AAAI;2007;?
conf/aaaiss/2007-2;Game Theoretic and Decision Theoretic Agents Papers from the 2007 AAAI Spring Symposium Technical Report SS-07-02 Stanford California USA March 26-28 2007;AAAI Spring Symposium: Game Theoretic and Decision Theoretic Agents;?;?;AAAI;2007;?
conf/aaaiss/2007-3;Intentions in Intelligent Systems Papers from the 2007 AAAI Spring Symposium Technical Report SS-07-03 Stanford California USA March 26-28 2007;AAAI Spring Symposium: Intentions in Intelligent Systems;?;?;AAAI;2007;?
conf/aaaiss/2007-4;Interaction Challenges for Intelligent Assistants Papers from the 2007 AAAI Spring Symposium Technical Report SS-07-04 Stanford California USA March 26-28 2007;AAAI Spring Symposium: Interaction Challenges for Intelligent Assistants;?;?;AAAI;2007;?
conf/aaaiss/2007-5;Logical Formalizations of Commonsense Reasoning Papers from the 2007 AAAI Spring Symposium Technical Report SS-07-05 Stanford California USA March 26-28 2007;AAAI Spring Symposium: Logical Formalizations of Commonsense Reasoning;?;?;AAAI;2007;?
conf/aaaiss/2007-6;Machine Reading Papers from the 2007 AAAI Spring Symposium Technical Report SS-07-06 Stanford California USA March 26-28 2007;AAAI Spring Symposium: Machine Reading;?;?;AAAI;2007;?
conf/aaaiss/2007-7;Multidisciplinary Collaboration for Socially Assistive Robotics Papers from the 2007 AAAI Spring Symposium Technical Report SS-07-07 Stanford California USA March 26-28 2007;AAAI Spring Symposium: Multidisciplinary Collaboration for Socially Assistive Robotics;?;?;AAAI;2007;?
conf/aaaiss/2007-8;Quantum Interaction Papers from the 2007 AAAI Spring Symposium Technical Report SS-07-08 Stanford California USA March 26-28 2007;AAAI Spring Symposium: Quantum Interaction;?;?;AAAI;2007;?
conf/aaaiss/2007-9;Robots and Robot Venues: Resources for AI Education Papers from the 2007 AAAI Spring Symposium Technical Report SS-07-09 Stanford California USA March 26-28 2007;AAAI Spring Symposium: Semantic Scientific Knowledge Integration;?;?;AAAI;2007;?
conf/aaaiss/2008-1;AI Meets Business Rules and Process Management Papers from the 2008 AAAI Spring Symposium Technical Report SS-08-01 Stanford California USA March 26-28 2008;AAAI Spring Symposium: AI Meets Business Rules and Process Management;?;?;AAAI;2008;?
conf/aaaiss/2008-2;Architectures for Intelligent Theory-Based Agents Papers from the 2008 AAAI Spring Symposium Technical Report SS-08-02 Stanford California USA March 26-28 2008;AAAI Spring Symposium: Emotion Personality and Social Behavior;?;?;AAAI;2008;?
conf/aaaiss/2008-3;Creative Intelligent Systems Papers from the 2008 AAAI Spring Symposium Technical Report SS-08-03 Stanford California USA March 26-28 2008;AAAI Spring Symposium: Creative Intelligent Systems;?;?;AAAI;2008;?
conf/aaaiss/2008-4;Emotion Personality and Social Behavior Papers from the 2008 AAAI Spring Symposium Technical Report SS-08-04 Stanford California USA March 26-28 2008;AAAI Spring Symposium: Emotion Personality and Social Behavior;?;?;AAAI;2008;?
conf/aaaiss/2008-5;Semantic Scientific Knowledge Integration Papers from the 2008 AAAI Spring Symposium Technical Report SS-08-05 Stanford California USA March 26-28 2008;AAAI Spring Symposium: Semantic Scientific Knowledge Integration;?;?;AAAI;2008;?
conf/aaaiss/2008-6;Social Information Processing Papers from the 2008 AAAI Spring Symposium Technical Report SS-08-06 Stanford California USA March 26-28 2008;AAAI Spring Symposium: Social Information Processing;?;?;AAAI;2008;?
conf/aaaiss/2008-7;Symbiotic Relationships between Semantic Web and Knowledge Engineering Papers from the 2008 AAAI Spring Symposium Technical Report SS-08-07 Stanford California USA March 26-28 2008;AAAI Spring Symposium: Symbiotic Relationships between Semantic Web and Knowledge Engineering;?;?;AAAI;2008;?
conf/aaaiss/2008-8;Using AI to Motivate Greater Participation in Computer Science Papers from the 2008 AAAI Spring Symposium Technical Report SS-08-08 Stanford California USA March 26-28 2008;AAAI Spring Symposium: Using AI to Motivate Greater Participation in Computer Science;?;?;AAAI;2008;?
conf/aaaiss/2009-1;Agents that Learn from Human Teachers Papers from the 2009 AAAI Spring Symposium Technical Report SS-09-01 Stanford California USA March 23-25 2009;AAAI Spring Symposium: Agents that Learn from Human Teachers;?;?;AAAI;2009;?
conf/aaaiss/2009-2;Benchmarking of Qualitative Spatial and Temporal Reasoning Systems Papers from the 2009 AAAI Spring Symposium Technical Report SS-09-02 Stanford California USA March 23-25 2009;AAAI Spring Symposium: Benchmarking of Qualitative Spatial and Temporal Reasoning Systems;?;?;AAAI;2009;?
conf/aaaiss/2009-3;Experimental Design for Real-World Systems Papers from the 2009 AAAI Spring Symposium Technical Report SS-09-03 Stanford California USA March 23-25 2009;AAAI Spring Symposium: Experimental Design for Real-World Systems;?;?;AAAI;2009;?
conf/aaaiss/2009-4;Human Behavior Modeling Papers from the 2009 AAAI Spring Symposium Technical Report SS-09-04 Stanford California USA March 23-25 2009;AAAI Spring Symposium: Human Behavior Modeling;?;?;AAAI;2009;?
conf/aaaiss/2009-5;Intelligent Event Processing Papers from the 2009 AAAI Spring Symposium Technical Report SS-09-05 Stanford California USA March 23-25 2009;AAAI Spring Symposium: Intelligent Event Processing;?;?;AAAI;2009;?
conf/aaaiss/2009-6;Intelligent Narrative Technologies II Papers from the 2009 AAAI Spring Symposium Technical Report SS-09-06 Stanford California USA March 23-25 2009;AAAI Spring Symposium: Intelligent Narrative Technologies II;?;?;AAAI;2009;?
conf/aaaiss/2009-7;Learning by Reading and Learning to Read Papers from the 2009 AAAI Spring Symposium Technical Report SS-09-07 Stanford California USA March 23-25 2009;AAAI Spring Symposium: Learning by Reading and Learning to Read;?;?;AAAI;2009;?
conf/aaaiss/2009-8;Social Semantic Web: Where Web 2.0 Meets Web 3.0 Papers from the 2009 AAAI Spring Symposium Technical Report SS-09-08 Stanford California USA March 23-25 2009;AAAI Spring Symposium: Social Semantic Web: Where Web 2.0 Meets Web 3.0;?;?;AAAI;2009;?
conf/aaaiss/2009-9;Technosocial Predictive Analytics Papers from the 2009 AAAI Spring Symposium Technical Report SS-09-09 Stanford California USA March 23-25 2009;AAAI Spring Symposium: Technosocial Predictive Analytics;?;?;AAAI;2009;?
conf/aaaiss/2010-1;Artificial Intelligence for Development Papers from the 2010 AAAI Spring Symposium Technical Report SS-10-01 Stanford California USA March 22-24 2010;AAAI Spring Symposium: Artificial Intelligence for Development;?;?;AAAI;2010;?
conf/aaaiss/2010-2;Cognitive Shape Processing Papers from the 2010 AAAI Spring Symposium Technical Report SS-10-02 Stanford California USA March 22-24 2010;AAAI Spring Symposium: Cognitive Shape Processing;?;?;AAAI;2010;?
conf/aaaiss/2010-3;Educational Robotics and Beyond Papers from the 2010 AAAI Spring Symposium Technical Report SS-10-03 Stanford California USA March 22-24 2010;AAAI Spring Symposium: Educational Robotics and Beyond;?;?;AAAI;2010;?
conf/aaaiss/2010-4;Embedded Reasoning Papers from the 2010 AAAI Spring Symposium Technical Report SS-10-04 Stanford California USA March 22-24 2010;AAAI Spring Symposium: Embedded Reasoning;?;?;AAAI;2010;?
conf/aaaiss/2010-5;Intelligent Information Privacy Management Papers from the 2010 AAAI Spring Symposium Technical Report SS-10-05 Stanford California USA March 22-24 2010;AAAI Spring Symposium: Intelligent Information Privacy Management;?;?;AAAI;2010;?
conf/aaaiss/2010-6;It's All in the Timing Papers from the 2010 AAAI Spring Symposium Technical Report SS-10-06 Stanford California USA March 22-24 2010;AAAI Spring Symposium: It's All in the Timing;?;?;AAAI;2010;?
conf/aaaiss/2010-7;Linked Data Meets Artificial Intelligence Papers from the 2010 AAAI Spring Symposium Technical Report SS-10-07 Stanford California USA March 22-24 2010;AAAI Spring Symposium: Linked Data Meets Artificial Intelligence;?;?;AAAI;2010;?
conf/aaaiss/2011-1;AI and Health Communication Papers from the 2011 AAAI Spring Symposium Technical Report SS-11-01 Stanford California USA March 21-23 2011;AAAI Spring Symposium: AI and Health Communication;?;?;AAAI;2011;?
conf/aaaiss/2011-2;Artificial Intelligence and Sustainable Design Papers from the 2011 AAAI Spring Symposium Technical Report SS-11-02 Stanford California USA March 21-23 2011;AAAI Spring Symposium: Artificial Intelligence and Sustainable Design;?;?;AAAI;2011;?
conf/aaaiss/2011-3;AI for Business Agility Papers from the 2011 AAAI Spring Symposium Technical Report SS-11-03 Stanford California USA March 21-23 2011;AAAI Spring Symposium: AI for Business Agility;?;?;AAAI;2011;?
conf/aaaiss/2011-4;Computational Physiology Papers from the 2011 AAAI Spring Symposium Technical Report SS-11-04 Stanford California USA March 21-23 2011;AAAI Spring Symposium: Computational Physiology;?;?;AAAI;2011;?
conf/aaaiss/2011-5;Help Me Help You: Bridging the Gaps in Human-Agent Collaboration Papers from the 2011 AAAI Spring Symposium Technical Report SS-11-05 Stanford California USA March 21-23 2011;AAAI Spring Symposium: Help Me Help You: Bridging the Gaps in Human-Agent Collaboration;?;?;AAAI;2011;?
conf/aaaiss/2011-6;Logical Formalizations of Commonsense Reasoning Papers from the 2011 AAAI Spring Symposium Technical Report SS-11-06 Stanford California USA March 21-23 2011;AAAI Spring Symposium: Logical Formalizations of Commonsense Reasoning;?;?;AAAI;2011;?
conf/aaaiss/2011-7;Multirobot Systems and Physical Data Structures Papers from the 2011 AAAI Spring Symposium Technical Report SS-11-07 Stanford California USA March 21-23 2011;AAAI Spring Symposium: Multirobot Systems and Physical Data Structures;?;?;AAAI;2011;?
conf/aaaiss/2011-8;Modeling Complex Adaptive Systems as if They Were Voting Processes Papers from the 2011 AAAI Spring Symposium Technical Report SS-11-08 Stanford California USA March 21-23 2011;AAAI Spring Symposium: Modeling Complex Adaptive Systems as if They Were Voting Processes;?;?;AAAI;2011;?
conf/aaaiss/2012-1;AI The Fundamental Social Aggregation Challenge Papers from the 2012 AAAI Spring Symposium Palo Alto California USA March 26-28 2012;AAAI Spring Symposium: AI The Fundamental Social Aggregation Challenge;AAAI Technical Report;SS-12-01;AAAI;2012;?
conf/aaaiss/2012-2;Designing Intelligent Robots Papers from the 2012 AAAI Spring Symposium Palo Alto California USA March 26-28 2012;AAAI Spring Symposium: Designing Intelligent Robots;AAAI Technical Report;SS-12-02;AAAI;2012;?
conf/aaaiss/2012-3;Game Theory for Security Sustainability and Health Papers from the 2012 AAAI Spring Symposium Palo Alto California USA March 26-28 2012;AAAI Spring Symposium: Game Theory for Security Sustainability and Health;AAAI Technical Report;SS-12-03;AAAI;2012;?
