TITLE,AUTHORS,YEAR,DESCRIPTION,ID,SUBJECT,PUBLISHER
A Simple Algorithm for Complete Motion Planning of Translating Polyhedral Robots,Gokul Varadhan Shankar Krishnan T. V. N. Sriram Dinesh Manocha,2005,We present an algorithm for complete path planning for translating polyhedral robots in 3D. Instead of exactly computing an explicit representation of the free space we compute a roadmap that captures its connectivity. This representation encodes the complete connectivity of free space and allows us to perform exact path planning. We construct the roadmap by computing deterministic samples in free space that lie on an adaptive volumetric grid. Our algorithm is simple to implement and uses two tests: a complex cell test and a star-shaped test. These tests can be efficiently performed on polyhedral objects using max-norm distance computation and linear programming. The complexity of our algorithm varies as a function of the size of narrow passages in the configuration space. We demonstrate the performance of our algorithm on environments with very small narrow passages or no collision-free paths.,10.1.1.1.1494,?,Sage Publications Inc.
 Modeling Ship Arrivals in Ports,Eelco van Asperen Rommert Dekker Mark Polman Henk de Swaan Arons,2003,The model used in this report focuses on the analysis  of ship waiting statistics and stock fluctuations under different  arrival processes. However the basic outline is the  same: central to both models are a jetty and accompanying  tankfarm facilities belonging to a new chemical plant in the   Port of Rotterdam. Both the supply of raw materials and   the export of finished products occur through ships loading   and unloading at the jetty. Since disruptions in the plants  production process are very expensive buffer stock is  needed to allow for variations in ship arrivals and overseas  exports through large ships.   Ports provide jetty facilities for ships to load and unload  their cargo. Since ship delays are costly terminal operators  attempt to minimize their number and duration. Here simulation  has proved to be a very suitable tool. However in port  simulation models the impact of the arrival process of ships  on the model outcomes tends to be underestimated. This article  considers three arrival processes: stock-controlled   equidistant per ship type and Poisson. We assess how their  deployment in a port simulation model based on data from a  real case study affects the efficiency of the loading and  unloading process. Poisson which is the chosen arrival  process in many client-oriented simulations actually performs worst in terms of both ship delays and required storage capacity. Stock-controlled arrivals perform best with regard to ship delays and required storage capacity.   In the case study two types of arrival processes were  considered. The first type are the so-called stock-controlled  arrivals i.e. ship arrivals are scheduled in such a way that  a base stock level is maintained in the tanks. Given a base  stock level of a raw material or ...,10.1.1.1.1495,?,?
Cognitive Tools for . . .,Donald Sofge Dennis Perzanowski Marjorie Skubic Magdalena Bugajska J. Gregory Trafton Nicholas Cassimatis Derek Brock William Adams Alan Schultz,2004,The effective use of humanoid robots in space will depend upon  the efficacy of interaction between humans and robots. The key to  achieving this interaction is to provide the robot with sufficient skills for  natural communication with humans so that humans can interact with the  robot almost as though it were another human. This requires that a number  of basic capabilities be incorporated into the robot including voice  recognition natural language and cognitive tools on-board the robot to  facilitate interaction between humans and robots through use of common  representations and shared humanlike behaviors.,10.1.1.1.1496,Cognitive Systems Co-operative Control Speech Recognition Natural Language Human-Machine Interface Autonomous Mobile Robots,?
Exploiting Computer Automation to Improve the Interview Process and Increase Survey Cooperation,Jeffrey C. Moore Jeffrey C. Moore,2004,Couper (2002) outlines the challenges and opportunities of recent and stillemerging technological developments on the conduct of survey research. This paper focuses on one such development -- the use of computer-assisted survey instruments in place of paper-andpencil questionnaires -- and it focuses on one particular opportunity which this development presents: the ability to improve efficiency flow and naturalness and in general make the interview experience a more pleasant one for all participants while still controlling question wording and sequencing. Moral arguments can be raised in defense of such efforts the potential for important practical benefits including improved survey cooperation lends more mundane but perhaps more potent support. Although the research literature is surprisingly scant there is some evidence that improved instrument design can reduce nonresponse. A recent effort by the U.S. Census Bureau to redesign the core instrument for the Survey of Income and Program Participation (SIPP) offers additional support. Motivated in large measure by evidence of increasing unit nonresponse and attrition the primary goal of the SIPP redesign effort was to improve the interview process and in particular to seek ways to avoid violations of conversational norms (e.g. Grice 1975). A great many of the SIPP interview process improvements would not have been feasible without the computerization of the survey instrument. This paper briefly summarizes many of the technology-based changes implemented in the SIPP instrument and briefly describes a set of field experiments used to develop and refine the new procedures and to evaluate their success in achieving SIPPs redesign goals. Keywords: burden conversational norms efficiency flow nonresponse/...,10.1.1.1.1497,burden conversational norms efficiency flow nonresponse/attrition questionnaire design respondent-friendly I. In,?
Performance and Design Evaluation Of The Raid-II Storage Server,Peter M. Chen Edward K. Lee Ann L. Drapeau  Ken Lutz Ethan L. Miller Srinivasan Seshan Ken Shirriff David A. Patterson Randy H. Katz,1994,RAID-II is a high-bandwidth networkattached storage server designed and implemented at the University of California at Berkeley. In this paper we measure the performance of RAID-II and evaluate various architectural decisions made during the design process. We first measure the end-to-end performance of the system to be approximately 20 MB/s for both disk array reads and writes. We then perform a bottleneck analysis by examining the performance of each individual subsystem and conclude that the disk subsystem limits performance. By adding a custom interconnect board with a high-speed memory and bus system and parity engine we are able to achieve a performance speedup of 8 to 15 over a comparative system using only off-theshelf hardware.,10.1.1.1.1499,?,?
The Marinov Motor Notional Induction,Without Magnetic Field J. P Wesley,2001,Introduction  The force of induction F on a charge q is given by  FA=-qtcdd(1)  where A is the usual magnetic vector potential defined by  A r  rJr  rrc  -  s    (2)  where J is the current density. Slowly varying effects are assumed here where the basic theory may be given as a true relativity theory involving the separation distance between two charges and its time derivatives.  This force of induction Eq. (1) yields Faradays law of electromagnetic induction for the special case of an electromotive force (emf) around a fixed closed loop. In particular  emf  d  d  d  d  d        (  0  ) =-  =-  =-    s s s  sF  q  s  tc tc  an  tc  an  A  B    (3)  where F is the magnetic flux through the loop.  It is observed in the laboratory that an emf is also induced when =A tc 0  and the magnetic flux through the loop is changed by moving the loop so Faradays law becomes  emf = -      .-(4)  Francisco Mllers (1987) experiments show that induction occurs locally and that the force ,10.1.1.1.1500,?,?
Biometric Verification Based on Grip-Pattern Recognition,Raymond Veldhuis Asker Bazen Joost Kauffman Pieter Hartel,2004,This paper describes the design implementation and evaluation of a user-verification system for a smart gun which is based on grip-pattern recognition. An existing pressure sensor consisting of an array of 44    44 piezoresistive elements is used to measure the grip pattern. An interface has been developed to acquire pressure images from the sensor. The values of the pixels in the pressure-pattern images are used as inputs for a verification algorithm which is currently implemented in software on a PC. The verification algorithm is based on a likelihoodratio classifier for Gaussian probability densities. First results indicate that it is feasible to use grip-pattern recognition for biometric verification.,10.1.1.1.1501,Biometric verification likelihood ratio smart gun grip-pattern recognition,?
Relativistic Doppler Effect and the Principle of Relativity,W. Engelhardt,2003,The frequency shifts predicted by the `relativistic Doppler  e#ect are derived in the photon picture of light. It turns  out that in general the results do not depend exclusively  on the relative velocity between observer and light source.,10.1.1.1.1502,Relativity Doppler Effect Aberration a private address Fasaneriestrasse 8 D-80636 München,?
Differential Association Rule Mining for the Study of Protein-Protein Interaction Networks,Christopher Besemann  Anne Denton  Ajay Yekkirala  Ron Hutchison  Marc Anderson,2004,Protein-protein interactions are of great interest to biologists. A variety of high-throughput techniques have been devised each of which leads to a separate definition of an interaction network. The concept of differential association rule mining is introduced to study the annotations of proteins in the context of one or more interaction networks. Differences among items across edges of a network are explicitly targeted. As a second step we identify differences between networks that are separately defined on the same set of nodes. The technique of differential association rule mining is applied to the comparison of protein annotations within an interaction network and between different interaction networks. In both cases we were able to find rules that explain known properties of protein interaction networks as well as rules that show promise for advanced study.,10.1.1.1.1503,?,?
Combining Adaptive and Deterministic Routing: Evaluation of a Hybrid Router,Dianne Kumar Walid A. Najjar,1999,?,10.1.1.1.1504,?,Springer
Towards a More Complete Model of Role, Adrian Baldwin Cheh Goh Cheh Goh,1998,In order to manage the use of roles for the purpose of access control it is important to look at attributes beyond the consideration of capability assignment. Fundamentally a generic attribute description using a constraint-based approach will allow many of the important aspects of role such as scope activation and deactivation to be included. Furthermore the commonly accepted concept of role hierarchy is challenged from the point of view of subsidiarity in real organisations with the suggestion that role hierarchy has limited usefulness that does not seem to apply widely.,10.1.1.1.1505,?,?
Target Tracking with Distributed Sensors: The Focus of Attention Problem,Volkan Isler   Sanjeev Khanna  J. Spletzer Camillo J. Taylor ,2004,In this paper we consider the problem of assigning sensors to track targets so as to minimize the expected error in the resulting estimation for target locations. Specifically we are interested in how disjoint pairs of bearing or range sensors can be best assigned to targets in order to minimize the expected error in the estimates. We refer to this as the focus of attention (FOA) problem. In its,10.1.1.1.1506,?,?
Creating an Integrated Computer Assisted Learning and Assessment Experience in the School of European Languages and Cultures at the University of Edinburgh,John Hobbs John Hobbs  Marcus Duran Marcus Duran Eh Jx,2002,In the field of Computer-Aided anything acronyms abound. They are after all useful tools. However there is a risk that we become constrained by them and as a result fail to see beyond them.,10.1.1.1.1507,?,?
Web Structure Analysis for Information Mining,Lakshmi Vijjappu Ah-Hwee Ah-hwee Tan Chew-lim Tan,2001,Our approach to extracting information from the web analyzes the structural content of web pages through exploiting the latent information given by HTML tags. For each specific extraction task an object model is created consisting of the salient fields to be extracted and the corresponding extraction rules based on a library of HTML parsing functions. We derive extraction rules for both single-slot and multiple-slot extraction tasks which we illustrate through two sample domains.,10.1.1.1.1508,?,?
Bayesian Inference for Transductive Learning of Kernel Matrix Using the Tanner-Wong Data Augmentation Algorithm,Zhihua Zhang  Dit-Yan Yeung James T. Kwok,2004,In kernel methods an interesting recent development  seeks to learn a good kernel from  empirical data automatically. In this paper  by regarding the transductive learning  of the kernel matrix as a missing data  problem we propose a Bayesian hierarchical  model for the problem and devise the  Tanner-Wong data augmentation algorithm  for making inference on the model. The  Tanner-Wong algorithm is closely related to  Gibbs sampling and it also bears a strong resemblance  to the expectation-maximization  (EM) algorithm. For an e#cient implementation  we propose a simplified Bayesian hierarchical  model and the corresponding TannerWong  algorithm. We express the relationship  between the kernel on the input space  and the kernel on the output space as a  symmetric-definite generalized eigenproblem.,10.1.1.1.1509,?,?
Genetic Improvisation Model - a framework for real-time performance environments,Paul Nemirovsky Richard Watson,2003,This paper presents the current state in an ongoing development of the Genetic  Improvisation Model (GIM): a framework for the design of real-time improvisational  systems. The aesthetic rationale for the model is presented followed by  a discussion of its general principles. A discussion of the Emonic Environment  a networked system for audiovisual creation built on GIMs principles follows,10.1.1.1.1510,?,?
Mean-Variance Hedging under Additional Market Information ,Frank Thierbach,?,In this paper we analyse the mean-variance hedging approach in an incomplete market under the assumption of additional market information which is represented by a given finite set of observed prices of non-attainable contingent claims. Due to no-arbitrage arguments our set of investment opportunities increases and the set of possible equivalent martingale measures shrinks. Therefore we obtain a modified mean-variance hedging problem which takes into account the observed additional market information. Solving this by means of the techniques developed by Gourieroux Laurent and Pham (1998) we obtain an explicit description of the optimal hedging strategy and an admissible constrained variance-optimal signed martingale measure that generates both the approximation price and the observed option prices.,10.1.1.1.1511,JEL classification G11 G12,?
Sis-Prueba,Tool For Rapid Pedro Concejero Cerezo Juan José Rodríguez Soler Daniel Tapias Merino Telefónica Móviles España,?,SIS PRUEBA is a software tool to integrate usability and user-centred design principles in the development process of services within Telefnica Mviles Espaa (TME) the largest mobile telecommunications operator in Spain.,10.1.1.1.1512,?,?
Reducing the Computational Load of Energy Evaluations for Protein Folding,Eunice E. Santos Eugene Santos Jr.,?,Predicting the native conformation using computational protein models requires a large number  of energy evaluations even with simplified models such as hydrophobic-hydrophilic (HP)  models. Clearly energy evaluations constitute a significant portion of computational time. We  hypothesize that given the structured nature of algorithms that search for candidate conformations  such as stochastic methods energy evaluation computations can be cached and reused  thus saving computational time and e#ort. In this paper we present a caching approach and  apply it to 2D triangular HP lattice model. We provide theoretical analysis and prediction of  the expected savings from caching as applied this model. We conduct experiments using a sophisticated  evolutionary algorithm that contains elements of local search memetic algorithms  diversity replacement etc. in order to verify our hypothesis and demonstrate a significant level of savings in computational e#ort and time that caching can provide.,10.1.1.1.1513,protein folding triangular lattice HP energy model caching reuse evolutionary,?
Human-Robot Interactions in Active Sensor Networks,Alexei Makarenko  Tobias Kaupp  Ben Grocholsky Hugh Durrant-whyte,?,This paper considers the modes of interaction between one or several human operators and an active sensor network -- a fully decentralized network of sensors some or all of which have actuators and are in that sense active. The primary goal of this study is to investigate the conditions under which the human involvement will not jeopardize scalability of the overall system. Two aspects of human-robot interaction are considered: the ways in which the global view of the system may be conveyed to the operators and how the operators may influence the behavior of the system during the course of its operation. The results of analysis favor peer-topeer information-based interactions between the operators and the network whereby the humans act as extended sensors and communication nodes of the network itself. Experiments on an indoor active sensor network are described.,10.1.1.1.1514,?,?
Disjoint Sum of Product Minimization by Evolutionary Algorithms,Nicole Drechsler  Mario Hilgemeier Görschwin Fey  Rolf Drechsler,?,Recently an approach has been presented to minimize Disjoint Sumof  -Products (DSOPs) based on Binary Decision Diagrams (BDDs). Due  to the symbolic representation of cubes for large problem instances the  method is orders of magnitude faster than previous enumerative techniques.,10.1.1.1.1515,?,?
Peer-to-Peer Human-Robot Interaction for Space Exploration,Terrence Fong And Terrence Fong Illah Nourbakhsh,2004,NASA has embarked on a long-term program to develop  human-robot systems for sustained affordable space exploration.,10.1.1.1.1518,?,?
Survey  Taxonomy of Packet Classification Techniques,David E. Taylor,2004,Packet classification is an enabling function for a variety of Internet applications including Quality of Service security monitoring and multimedia communications. In order to classify a packet as belonging to a particular flow or set of flows network nodes must perform a search over a set of filters using multiple fields of the packet as the search key. In general there have been two major threads of research addressing packet classification: algorithmic and architectural. A few pioneering groups of researchers posed the problem provided complexity bounds and offered a collection of algorithmic solutions. Subsequently the design space has been vigorously explored by many offering new algorithms and improvements upon existing algorithms. Given the inability of early algorithms to meet performance constraints imposed by high speed links researchers in industry and academia devised architectural solutions to the problem. This thread of research produced the most widely-used packet classification device technology Ternary Content Addressable Memory (TCAM). New architectural research combines intelligent algorithms and novel architectures to eliminate many of the unfavorable characteristics of current TCAMs. We observe that the community appears to be converging on a combined algorithmic and architectural approach to the problem. Using a taxonomy based on the high-level approach to the problem and a minimal set of running examples we provide a survey of the seminal and recent solutions to the problem. It is our hope to foster a deeper understanding of the various packet classification techniques while providing a useful framework for discerning relationships and distinctions.,10.1.1.1.1519,?,?
Friscof Risco,Framework Of Information Eckhard D. Falkenberg Wolfgang Hesse Paul Lindgreen Björn E. Nilsson J. L. Han Oei Colette Rolland Ronald K. Stamper Frans J. M. Van Assche Alexander A. Verrijn-stuart Klaus Voss,1998,this report Paul Lindgreen as secretary and as editor of the interim report [Lin90a],10.1.1.1.1520,?,?
 Average performance of quasi Monte Carlo methods for global optimization,Hisham A. Al-Mharmah,1998,In this paper we compare the average performance of one class of low-discrepancy quasi-Monte Carlo sequences for global optimization. Weiner measure is assumed as the probability prior on all optimized functions. We show how to construct van der Corput sequences and we prove their consistency. Numerical experimentation shows that the van der Corput sequence in base 2 has a better average performance.,10.1.1.1.1521,?,?
The Virtual Ms Lyceum: A Consortium For Modeling And Simulation Technology,D. J. Medeiros E. F. Watson J. S. Carson M. S. Manivannan Steven D. Farr Alex F. Sisti,1998,This paper addresses the opportunity to put into place a virtual consortium for modeling and simulation. While periodic conferences such as the Winter Simulation Conference are tremendously vital to the continued growth of modeling and simulation research they do not offer the day-to-day technical exchange that can now be made possible with matured collaborative technologies.,10.1.1.1.1522,?,?
Classification And Regression Trees Cart - A User Manual For Identifying Indicators Of Vulnerability To Famine And Chronic Food Insecurity,Auser Manualfor Yisehac Yohannes Patrick Webb,?,ue the Netherlands Norway the Philippines the Rockefeller Foundation the Rural Industries Research and Development Corporation (Australia) South Africa the Southern African Development Bank Spain Sweden Switzerland the United Kingdom the United Nations Childrens Fund the United States and the World Bank. CLASSIFIC ATION AND REGRESSION TREES CART^TM  A USER MANUAL FOR IDENTIFYING INDIC A TORS OF VULNERABILITY TO FAMINE AND CHRONIC FOOD INSECURITY YISEHAC YOHANNES PATRICK WEBB MICROCOMPUTERS IN POLICY RESEARCH   INTERNATIONAL FOOD POLICY RESEARCH INSTITUTE  CART is a registered trademark of California Statistical Software Inc. Copyright 1999 by the International Food Policy Research Institute 2033 K Street N.W. Washington D.C. 20006-1002 U.S.A. Library of Congress Cataloging-in-Publication Data available Yohannes Yisehac Classification and Regression Trees Cart^TM : A User Manual for Identifying Indicators of Vulnerability to Famine and Chronic Food Insecurity / Yise,10.1.1.1.1523,FAMINE AND CHRONIC FOOD INSECURITY YISE HAC YO HAN NES,?
An Approach for Locating Segmentation Points of Handwritten Digit Strings,Using Neural Network,?,An approach for segmentation of handwritten touching numeral strings is presented in this paper. A neural network has been designed to deal with various types of touching observed frequently in numeral strings. A numeral string image is split into a number of line segments while stroke extraction is being performed and the segments are represented with straight lines. Four types of primitive are defined based on the lines and used for representing the numeral string in more abstractive way and extracting clues on touching information from the string. Potential segmentation points are located using the neural network by active interpretation of the features collected from the primitives. Also the run-length coding scheme is employed for efficient representation and manipulation of images. On a test set collected from real mail pieces the segmentation accuracy of 89.1% was achieved in image level in a preliminary experiment. 1. ,10.1.1.1.1524,?,?
An Overview of JML Tools and Applications,Lilian Burdy Yoonsik Cheon David Cok Michael D. Ernst Joe Kiniry Gary T. Leavens K. Rustan M. Leino Erik Poll ,2003,The Java Modeling Language (JML) can be used to specify  the detailed design of Java classes and interfaces by adding annotations  to Java source files. The aim of JML is to provide a specification language  that is easy to use for Java programmers and that is supported by a wide  range of tools for specification type-checking runtime debugging static  analysis and verification. This paper,10.1.1.1.1525,formal specification Java runtime assertion checking static checking,?
Triage: Performance Isolation and Differentiation for Storage Systems,Magnus Karlsson  Christos Karamanolis Xiaoyun Zhu,2004,Ensuring performance isolation and differentiation among workloads that share a storage infrastructure is a basic requirement in consolidated data centers. Existing management tools rely on resource provisioning to meet performance goals they require detailed knowledge of the system characteristics and the workloads. Provisioning is inherently slow to react to system and workload dynamics and in the general case it is impossible to provision for the worst case.,10.1.1.1.1526,?,?
On-line Handwritten Japanese Text Recognition free from Constrains on Line,Direction And Character Masaki Nakagawa Motoki Onuma,?,This paper describes an on-line handwritten Japanese text recognition method that is liberated from constraints on writing direction (line direction) and character orientation. This method estimates the line direction and character orientation using the time sequence information of pen-tip coordinates and employs writingbox -free recognition with context processing combined. The method can cope with a mixture of vertical horizontal and skewed lines with arbitrary character orientations. It is expected useful for tablet PCs interactive electronic whiteboards and so on.,10.1.1.1.1527,?,?
Data Transformation for Warehousing Web Data,Yan Zhu Christof Bornhövd Alejandro P. Buchmann,2001,In order to analyze market trends and make reasonable business plans a companys local data is not sufficient. Decision making must also be based on information from suppliers partners and competitors. This external data can be obtained from the Web in many cases but must be integrated with the companys own data for example in a data warehouse. To this end Web data has to be mapped to the star schema of the warehouse. In this paper we propose a semi-automatic approach to support this transformation process. Our approach is based on the use a rooted labeled tree representation of Web data and the existing warehouse schema. Based on this common view we can compare source and target schemata to identify correspondences. We show how the correspondences guide the transformation to be accomplished automatically. We also explain the meaning of recursion and restructuring in mapping rules which are the core of the transformation algorithm.,10.1.1.1.1528,?,?
Discriminant Projections Embedding for Nearest Neighbor Classification.,Petia Radeva And Petia Radeva Jordi Vitrià,2004,In this paper we introduce a new embedding technique to  linearly project labeled data samples into a new space where the performance  of a Nearest Neighbor classifier is improved. The approach is  based on considering a large set of simple discriminant projections and  finding the subset with higher classification performance. In order to implement  the feature selection process we propose the use of the adaboost  algorithm. The performance of this technique is tested in a multiclass  classification problem related to the production of cork stoppers for wine  bottles.,10.1.1.1.1529,?,Springer Verlag
Vowel - Zero Alternations in Czech Prefixes,Tobias Scheer Tobias Scheer Clite E -e,1998,inchoative up    p#ed    16    48    before in front of    roz    80    295    inch. disperse/ break into pieces    nad    5    33    over    pod    26    74    under    od    41    253    distantiational movement    sum    195    762        TOTAL        957        (6) the secret must be found in the different status of stem-initial CC-clusters.    (7) stem-initial CCs observed with  a. prefixal-V only +e  b. prefixal - only -e  c. both mix     +e only: 17 CCs -e only: 38 CCs ct dn d# jm lstn mk pn ps rv #v sch sr v tn v# z# #r  bl b# cl cv #l f# fr hl hm hv chl chrchl km kr k# kv m# mr pl pt sh sv k n p r tl tr tv vd vr zbr zp zt #h #m ## #v  mix: 35 CCs br #t dm dr dv hn hr h# chv jd kd kl ml mn pj pr p# sk sl sm sn sp st l t t# v# vl v# v vz zd zl zn zv TOTAL nb CC: 90 (8) A given root belongs to one and only one of these three groups. (9)    CC mix represented by how many it,10.1.1.1.1530,e,?
Automatic Construction of Navigable Concept Networks Characterizing Text Databases,Claudio Carpineto Giovanni Romano Fondazione Ugo Bordoni,1995,In this paper we present a comprehensive approach to conceptual structuring and intelligent navigation of text databases. Given any collection of texts we first automatically extract a set of index terms describing each text. Next we use a particular lattice conceptual clustering method to build a network of clustered texts whose nodes are described using the index terms. We argue that the resulting network supports an hybrid navigational approach to text retrieval - implemented into an actual user interface - that combines browsing potentials with good retrieval performance. We present the results of an experiment on subject searching where this approach outperformed a conventional Boolean retrieval system.,10.1.1.1.1531,?,Springer-Verlag
